お客様からの質問,ますびと商店の回答
"この商品を購入し、こちらから（日本豊中市）からシンガポールへ郵送したいのですが、少し頑丈に梱包して頂けますでしょうか？中身を開けずに郵送したいのです。
シンガポールの居る孫の誕生日プレゼントです。
プレゼント用の包装はいりません。頑丈な梱包をお願いしたい。加えて、梱包後のサイズなど教えて下さい。宜しくお願いします。まだ注文してません。孫からのリクエストです。","お客様
いつも大変お世話になっております。
お問い合わせありがとうございます。
恐れ入りますが、ダンボールは通常梱包（メーカーの外装箱）となります。
申し訳ございません。
サイズはおおよそ3辺140cmくらいかと存じます。
何卒よろしくお願い申し上げます。
ますびと商店"
,
"配送について

鹿児島県奄美市名瀬大熊までは送料無料ですか？
送料によっては注文をキャンセル致します。","お客様
いつも大変お世話になっております。
当店をご利用いただきありがとうございます。
送料は無料でお届けさせていただきます。
引き続きよろしくお願い申し上げます。
ますびと商店"
,
"キャンセルしたい

キャンセルの理由：この注文はキャンセルしてください
他のモデルに変更して購入します","お客様
いつも大変お世話になっております。
当店をご利用いただきありがとうございます。
ご注文キャンセルの旨、承知しました。
引き続きよろしくお願い申し上げます。
ますびと商店
"
,
"配送について

配送状況教えてください","お客様
いつも大変お世話になっております。
当店にてお買い上げいただき誠にありがとうございます。
年末年始の休業をいただいており、お返事が遅くなり申し訳ございません。
ご注文の商品は本日発送にて手配を進めております。
商品のお届けまでもうしばらくお待ちくださいませ。
何卒よろしくお願い申し上げます。
ますびと商店"
,
"写真と商品名が違いますが
どっちが正しいんでしょうか？","お客様
いつも大変お世話になっております。
お問い合わせありがとうございます。
商品名がわかりにくく申し訳ございません。
こちらの商品は【ST】モデルになります。
ご検討の程よろしくお願い申し上げます。
ますびと商店"
,
"配送について

__ __ _____","__ __ ___ __ ____.
___ ___ _____.
_ ______."
,
"配送について

長野県の毛利と言います。ロットはいつ発送になりますか　連絡をお願いします。
[注文番号] 404987-20251226-0836748389
[注文日時] 2025/12/26 09:27:02
[商品名] メジャークラフト 鯵道 3G AD3FC-832/S 送料無料
[お支払い金額] 22,797円","お客様
いつも大変お世話になっております。
当店にてお買い上げいただき誠にありがとうございます。
年末年始の休業をいただいており、お返事が遅くなり申し訳ございません。
ご注文の商品は本日発送にて手配を進めております。
商品のお届けまでもうしばらくお待ちくださいませ。
何卒よろしくお願い申し上げます。
ますびと商店
"
,
売れ切ればかりですが、再入荷のご予定はないのでしょうか？,"お客様
いつも大変お世話になっております。
お問い合わせありがとうございます。
恐れ入りますが、再入荷の目処は立っておりません。
何卒よろしくお願い申し上げます。
ますびと商店"
,
"返金してほしい（お客様都合）

返金の理由：品番を間違えて購入してしまいました。2000ss-pを購入予定がカートに間違えて2000ss-hを入れていました。開封後に気づいてに戻しています。","お客様
いつも大変お世話になっております。
当店をご利用いただきありがとうございます。
返品につきましては下記まで送料元払いにてご返送ください。

〒180-0011
東京都武蔵野市八幡町1-1-3-203
ますびと商店
TEL：0422-66-2710

何卒よろしくお願い申し上げます。
ますびと商店"
,
"ご迷惑をお掛けしました。
知人に譲ることになりましたので、返品には至らずに済みました。
ご丁寧な返信を頂き有難うございました。","お客様
ご確認ありがとうございます。
ご状況について承知しました。
また機会がございましたらよろしくお願いいたします。
ますびと商店"
,
"ご担当者様へ

ヤマト運輸の追跡サービスにより、送った竿は9日に配達完了を確認いたしました。
当初は交換を希望しておりましたが、このまま返品とさせていただきたいと思います。
ご対応、よろしくお願いいたします。","お客様
いつも大変お世話になっております。
返送品を確認させていただきました。
ご対応にお時間がかかり申し訳ございません。
それでは速やかに返金手続きを進めさせていただきます。
何卒よろしくお願い申し上げます。
ますびと商店"
